symbol,currentPrice,previousClose,dayLow,dayHigh,marketCap,beta,rendimiento
AAPL,264.58,260.58,258.16,264.75,3888777003008,1.107,0.015350372246526979
MSFT,397.23,398.46,395.16,400.1159,2952363507712,1.084,-0.0030868845053454836
GOOGL,314.98,302.85,303.9,316.5,3810313371648,1.086,0.04005283143470363
AMZN,210.11,204.86,203.75,211.1673,2255514238976,1.385,0.025627257639363465
TSLA,411.82,411.71,405.5,414.7,1545326559232,1.887,0.00026717835369559557
NVDA,189.82,187.9,185.9378,190.3299,4621547864064,2.314,0.010218201170835484
META,655.66,644.78,638.78,663.3499,1658528202752,1.284,0.01687397251775799
UNH,290.0,289.93,285.55,290.785,262693191680,0.415,0.00024143758838337934
JPM,310.79,308.05,305.68,310.99,846051934208,1.053,0.008894659957799088
V,320.95,318.93,317.82,322.35,618804346880,0.78,0.006333678236603586
XOM,147.28,150.97,146.46,150.8055,621104136192,0.358,-0.024441942107703504
LLY,1009.52,1023.22,1002.46,1028.12,952338219008,0.394,-0.013389104982310789
PG,160.78,158.56,158.17,161.06,376303222784,0.38,0.014001009081735613
MA,526.41,520.26,518.59,527.5,469788098560,0.821,0.011821012570637715
AVGO,332.65,333.99,329.58,340.11,1577184657408,1.221,-0.004012096170544124
